TAXI_TYPE,PICKUP_AT,DROPOFF_AT,PICKUP_YEAR,PICKUP_MONTH,PICKUP_DAYOFWEEK,PICKUP_HOUR,IS_NIGHT,IS_WEEKEND,IS_RUSH_HOUR,TRIP_DURATION_MINUTES,TRIP_DISTANCE,PASSENGER_COUNT,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,CONGESTION_SURCHARGE,CBD_CONGESTION_FEE,AIRPORT_FEE,TOTAL_AMOUNT,PICKUP_ZONE_ID,DROPOFF_ZONE_ID,PICKUP_BOROUGH,PICKUP_ZONE_NAME,DROPOFF_BOROUGH,DROPOFF_ZONE_NAME,WEATHER_CATEGORY,IS_ADVERSE_WEATHER,TEMPERATURE_F,PRECIPITATION_INCH,WIND_SPEED_MPH
yellow,2025-01-31 17:52:22,2025-01-31 18:24:11,2025,1,5,17,False,False,True,32,3.9,,Unknown,32.29,0.0,0.5,0.0,0.0,1.0,,0.75,,37.04,141,249,Manhattan,Lenox Hill West,Manhattan,West Village,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:52:00,2025-01-31 17:59:00,2025,1,5,17,False,False,True,7,0.73,,Unknown,8.49,0.0,0.5,0.0,0.0,1.0,,0.75,,13.24,100,186,Manhattan,Garment District,Manhattan,Penn Station/Madison Sq West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:54:17,2025-01-31 18:10:20,2025,1,5,17,False,False,True,16,0.01,,Unknown,25.97,0.0,0.5,0.0,0.0,1.0,,0.75,,30.72,233,231,Manhattan,UN/Turtle Bay South,Manhattan,TriBeCa/Civic Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:17:52,2025-01-31 17:32:12,2025,1,5,17,False,False,True,15,2.2,,Unknown,13.32,0.0,0.5,0.0,0.0,1.0,,0.75,,18.07,246,249,Manhattan,West Chelsea/Hudson Yards,Manhattan,West Village,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:49:46,2025-01-31 18:02:46,2025,1,5,17,False,False,True,13,1.7,,Unknown,16.42,0.0,0.5,0.0,0.0,1.0,,0.75,,21.17,211,68,Manhattan,SoHo,Manhattan,East Chelsea,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:09:00,2025-01-31 17:19:00,2025,1,5,17,False,False,True,10,1.7,,Unknown,14.17,0.0,0.5,0.0,0.0,1.0,,0.75,,18.92,114,231,Manhattan,Greenwich Village South,Manhattan,TriBeCa/Civic Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:26:00,2025-01-31 17:35:00,2025,1,5,17,False,False,True,9,0.91,,Unknown,10.06,0.0,0.5,0.0,0.0,1.0,,0.75,,14.81,231,148,Manhattan,TriBeCa/Civic Center,Manhattan,Lower East Side,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:49:00,2025-01-31 18:02:00,2025,1,5,17,False,False,True,13,1.78,,Unknown,15.81,0.0,0.5,0.0,0.0,1.0,,0.75,,20.56,79,232,Manhattan,East Village,Manhattan,Two Bridges/Seward Park,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:25:33,2025-01-31 17:38:05,2025,1,5,17,False,False,True,13,1.1,,Unknown,12.15,0.0,0.5,0.0,0.0,1.0,,0.75,,16.9,137,90,Manhattan,Kips Bay,Manhattan,Flatiron,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:02:10,2025-01-31 17:21:19,2025,1,5,17,False,False,True,19,1.7,,Unknown,18.08,0.0,0.5,0.0,0.0,1.0,,0.75,,22.83,163,107,Manhattan,Midtown North,Manhattan,Gramercy,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:54:14,2025-01-31 18:18:06,2025,1,5,17,False,False,True,24,0.0,,Unknown,30.58,0.0,0.5,0.0,0.0,1.0,,0.75,,35.33,48,45,Manhattan,Clinton East,Manhattan,Chinatown,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:56:25,2025-01-31 18:09:21,2025,1,5,17,False,False,True,13,0.0,,Unknown,12.36,0.0,0.5,0.0,0.0,1.0,,0.75,,17.11,68,107,Manhattan,East Chelsea,Manhattan,Gramercy,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:47:52,2025-01-31 18:08:59,2025,1,5,17,False,False,True,21,0.0,,Unknown,21.39,0.0,0.5,0.0,0.0,1.0,,0.75,,26.14,246,79,Manhattan,West Chelsea/Hudson Yards,Manhattan,East Village,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:27:22,2025-01-31 17:40:27,2025,1,5,17,False,False,True,13,0.0,,Unknown,13.31,0.0,0.5,0.0,0.0,1.0,,0.75,,18.06,170,246,Manhattan,Murray Hill,Manhattan,West Chelsea/Hudson Yards,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:41:56,2025-01-31 17:56:51,2025,1,5,17,False,False,True,15,2.49,,Unknown,18.79,0.0,0.5,0.0,0.0,1.0,,0.75,,23.54,144,186,Manhattan,Little Italy/NoLiTa,Manhattan,Penn Station/Madison Sq West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:18:00,2025-01-31 17:53:00,2025,1,5,17,False,False,True,35,7.42,,Unknown,32.69,0.0,0.5,0.0,0.0,1.0,,0.75,,37.44,88,262,Manhattan,Financial District South,Manhattan,Yorkville East,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:24:34,2025-01-31 17:30:53,2025,1,5,17,False,False,True,6,0.0,,Unknown,8.99,0.0,0.5,0.0,0.0,1.0,,0.0,,10.49,41,166,Manhattan,Central Harlem,Manhattan,Morningside Heights,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:57:06,2025-01-31 18:10:01,2025,1,5,17,False,False,True,13,0.01,,Unknown,20.07,0.0,0.5,0.0,0.0,1.0,,0.75,,24.82,249,100,Manhattan,West Village,Manhattan,Garment District,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:42:31,2025-01-31 17:56:26,2025,1,5,17,False,False,True,14,0.01,,Unknown,9.64,0.0,0.5,0.0,0.0,1.0,,0.75,,14.39,170,186,Manhattan,Murray Hill,Manhattan,Penn Station/Madison Sq West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:05:21,2025-01-31 17:23:10,2025,1,5,17,False,False,True,18,0.0,,Unknown,21.68,0.0,0.5,0.0,0.0,1.0,,0.75,,26.43,25,4,Brooklyn,Boerum Hill,Manhattan,Alphabet City,Drizzle,False,39.8,0.004,3.1
